text,label
"Dear customer, thank you for your order. Your package has been shipped.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Hello, this is a reminder about your upcoming appointment.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Your monthly statement is now available in your account.,0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Security notice: We detected a login from a new device.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Your monthly statement is now available in your account.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Your monthly statement is now available in your account.,0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Your payment failed. Update billing info: http://billing-update.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Thank you for contacting support. We will respond within 24 hours.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Thank you for contacting support. We will respond within 24 hours.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
Security notice: We detected a login from a new device.,0
Your payment failed. Update billing info: http://billing-update.com,1
Security notice: We detected a login from a new device.,0
URGENT: Your account has been suspended! Click here to verify: http://secure-login.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
Security Alert: Unusual login detected. Secure account: http://account-protect.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
Your payment failed. Update billing info: http://billing-update.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
Your monthly statement is now available in your account.,0
Congratulations! You've won a $500 gift card! Claim now: https://free-gift.com,1
"Hello, this is a reminder about your upcoming appointment.",0
You have unread messages. Login to view: http://message-center.com,1
Security notice: We detected a login from a new device.,0
You have unread messages. Login to view: http://message-center.com,1
Your monthly statement is now available in your account.,0
You have unread messages. Login to view: http://message-center.com,1
"Dear customer, thank you for your order. Your package has been shipped.",0
